agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,memory_access
Sniper Agent,SniperAgent,0,0.0,0,66.55555555555556,0,0,7,yes
Adaptive Agent,AdaptiveAgent,15,0.5,284,87.82758620689656,0.19915848527349228,1,7,yes
Random Agent,RandomAgent,5,0.16666666666666666,153,71.1304347826087,0.326226012793177,7,7,no
Conservative Agent,ConservativeAgent,6,0.2,164,63.5,0.3253968253968254,0,7,no
Aggressive Agent,AggressiveAgent,11,0.36666666666666664,126,73.9,0.12280701754385964,0,7,no
Sniper Agent,SniperAgent,1,0.03333333333333333,1,63.333333333333336,0.010638297872340425,1,7,no
Adaptive Agent,AdaptiveAgent,7,0.23333333333333334,334,74.13333333333334,0.4805755395683453,0,7,no
Random Agent,RandomAgent,3,0.1,155,68.41176470588235,0.7673267326732673,6,8,yes
Conservative Agent,ConservativeAgent,4,0.13333333333333333,85,40.12,0.15711645101663585,0,8,yes
Aggressive Agent,AggressiveAgent,9,0.3,269,64.29166666666667,0.27505112474437626,0,8,yes
Sniper Agent,SniperAgent,0,0.0,0,53.4,0,0,8,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,152,107.30434782608695,0.10133333333333333,7,8,yes
Random Agent,RandomAgent,10,0.3333333333333333,374,91.73076923076923,0.35316336166194523,4,8,no
Conservative Agent,ConservativeAgent,2,0.06666666666666667,42,50.46666666666667,0.24705882352941178,0,8,no
Aggressive Agent,AggressiveAgent,12,0.4,262,77.0,0.1870092790863669,1,8,no
Sniper Agent,SniperAgent,2,0.06666666666666667,25,78.2,0.14285714285714285,0,8,no
Adaptive Agent,AdaptiveAgent,4,0.13333333333333333,143,81.23333333333333,0.49140893470790376,0,8,no
Random Agent,RandomAgent,3,0.1,125,52.22727272727273,0.6313131313131313,4,9,yes
Conservative Agent,ConservativeAgent,6,0.2,120,39.916666666666664,0.20134228187919462,0,9,yes
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,146,44.52173913043478,0.4332344213649852,1,9,yes
Sniper Agent,SniperAgent,3,0.1,7,45.1,0.043478260869565216,0,9,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,185,84.91304347826087,0.12432795698924731,7,9,yes
Random Agent,RandomAgent,6,0.2,207,68.73076923076923,0.35084745762711866,4,9,no
Conservative Agent,ConservativeAgent,11,0.36666666666666664,192,58.6,0.1991701244813278,0,9,no
Aggressive Agent,AggressiveAgent,9,0.3,213,72.89655172413794,0.25058823529411767,1,9,no
Sniper Agent,SniperAgent,0,0.0,0,58.333333333333336,0,1,9,no
Adaptive Agent,AdaptiveAgent,4,0.13333333333333333,189,75.3,0.47368421052631576,0,9,no
Random Agent,RandomAgent,2,0.06666666666666667,186,72.21052631578948,1.0813953488372092,2,10,yes
Conservative Agent,ConservativeAgent,8,0.26666666666666666,166,69.95,0.20194647201946472,0,10,yes
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,178,68.7,0.3403441682600382,0,10,yes
Sniper Agent,SniperAgent,2,0.06666666666666667,90,83.22222222222223,0.4945054945054945,1,10,yes
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,105,91.23076923076923,0.07221458046767538,4,10,yes
Random Agent,RandomAgent,4,0.13333333333333333,168,84.07692307692308,0.35517970401691334,4,10,no
Conservative Agent,ConservativeAgent,11,0.36666666666666664,350,74.10344827586206,0.2996575342465753,0,10,no
Aggressive Agent,AggressiveAgent,9,0.3,192,74.39285714285714,0.21168687982359427,1,10,no
Sniper Agent,SniperAgent,3,0.1,55,66.0,0.20446096654275092,0,10,no
Adaptive Agent,AdaptiveAgent,3,0.1,165,86.63333333333334,0.5481727574750831,0,10,no
